Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
group_619		ribosomal protein L7/L12	3	3	1	1	2122	1	683		896	896	896								ERR128814_00620								ERR343073_00951				H1605_01721										
group_63		FIG00470444: hypothetical protein	3	3	1	1	1922	1	679		293	827	490			ERR278423_00664														ERR356128_01280													
group_645		FIG00470444: hypothetical protein	3	3	1	1	1996	144	1		158	158	158																			H1604_00183										H704_00141	SRR065736_00147
group_678	rhmT_2	tartrate transporter	3	3	1	1	1181	129	9		320	320	320																											H1668_00635	H1670_00602		
group_684	aldA	aldehyde dehydrogenase A	3	3	1	1	1193	129	2		1181	1181	1181			ERR278423_01756															ERR593768_00657										H1670_00609		
group_70		FIG00470444: hypothetical protein	3	3	1	1	2610	1	667		560	695	650																			H1604_00864										H704_00816	
group_705		"ABC transporter, ATP-binding protein"	3	3	1	1	144	51	2		788	1931	1169								ERR128814_00461								ERR343073_00789				H1605_01040										
group_771		CTA2 subfamily 1 protein	3	3	1	1	990	19	1		161	161	161								ERR128814_01129								ERR343073_01630				H1605_01663										
group_795		Arsenical-resistance protein ACR3	3	3	1	1	2131	185	2		461	488	470								ERR128814_01174								ERR343073_01585				H1605_01707										
group_806		cpp14	3	3	1	1	1035	1	1185		2369	5798	4655						ERR084064_01171																								
hisC_2		Histidinol-phosphate aminotransferase	3	3	1	1	968	1	450		188	1103	506															ERR278461_01096		ERR356128_01154										H1668_01582			
group_885	cmeC	outer membrane channel protein CmeC	3	3	1	1	2817	25	4		476	1478	1144																	ERR356128_00531							H1662_00467				H1670_00471		
sdhA_1		succinate dehydrogenase flavoprotein subunit	3	3	1	1	2735	63	1		896	896	896								ERR128814_00007								ERR343073_00332				H1605_00597										
group_900	nusA	transcription elongation factor NusA	3	3	1	1	2708	74	1		401	1088	859																									H1664_00649		H1668_00604	H1670_00571		
neuC_1_2		Polysialic acid biosynthesis protein P7	2	2	1	1	903	1	576		383	1115	749																														
dctA_1		Putative C4-dicarboxylate transport protein	2	2	1	1	843	69	2		680	1376	1028																	ERR356128_01656													SRR065736_01147
group_1033	hydB	Quinone-reactive Ni/Fe-hydrogenase large chain	2	2	1	1	257	72	2		569	1715	1142																								H1662_01361	H1664_01408					
flaB_1		Flagellin A	2	2	1	1	694	1	778		503	800	651							ERR108372_00057																		H1664_01710					
group_11		Motility accessory factor	2	2	1	1	2377	1	933		173	326	249										ERR221288_01338																				
group_1103		"beta-1,4-N-acetylgalactosaminyltransferase"	2	2	1	1	750	1	758		617	623	620																														SRR065736_01660
group_1110		hypothetical protein	2	2	1	1	3177	1	642		614	614	614																			H1604_01674				H1608_01532							
group_1113		hypothetical protein	2	2	1	1	3175	1	640		278	278	278				ERR083948_01593																										
group_1115		hypothetical protein	2	2	1	1	3168	1	635		161	1688	924																			H1604_01680											
bepE_1		"RND efflux system, inner membrane transporter CmeB"	2	2	1	1	2816	25	5		1082	3110	2096																	ERR356128_00532							H1662_00468						
group_1123		hypothetical protein	2	2	1	1	423	1	422		185	185	185														ERR278359_01360																
group_1126		putative sugar transferase	2	2	1	1	3325	1	851		1097	1208	1152																														
group_1127		putative sugar transferase	2	2	1	1	3323	1	850		149	1208	678																														
group_1138		Filamentous haemagglutinin domain protein	2	2	1	1	1745	1	1093		1244	3371	2307													ERR278242_00487													H1666_00510				
group_1142		DEAD/DEAH box helicase	2	2	1	1	704	235	2		2432	2432	2432																					H1606_00252	H1607_00252								
group_1143		DEAD/DEAH box helicase	2	2	1	1	703	235	4		2432	2432	2432					ERR083973_00257		ERR108372_01282																							
group_1185		hypothetical protein	2	2	1	1	1708	1	270		188	665	426																													H704_01692	SRR065736_01702
group_13		Motility accessory factor	2	2	1	1	2378	1	1300		257	1910	1083		ERR713656_01559			ERR083973_01075																									
group_136		Filamentous haemagglutinin domain protein	2	2	1	1	1694	1	1077		464	926	695																														SRR065736_00761
maf-1		motility accessory factor	2	2	1	1	2588	1	1244		215	848	531							ERR108372_00252			ERR221288_00834																				
group_148		putative sugar transferase	2	2	1	1	1687	1	835		338	1037	687	ERR494558_01738																													
group_153		putative sugar transferase	2	2	1	1	3197	1	780		1352	1919	1635																								H1662_01684				H1670_01773		
group_1561		hypothetical protein	2	2	1	1	2302	1	1325		407	407	407		ERR713656_01790																							H1664_01753					
group_1562		hypothetical protein	2	2	1	1	2301	1	1326		335	335	335		ERR713656_01791																							H1664_01752					
group_1575		sugar transferase	2	2	1	1	36	1	825		587	704	645																														
group_1578		KAP family P loop domain protein	2	2	1	1	3128	1	248		1685	1685	1685									ERR193205_01242																					
group_1581		"RepE replication protein, putative"	2	2	1	1	2350	1	50		824	842	833			ERR278423_01429															ERR593768_01721												
group_1606		hypothetical protein	2	2	1	1	391	1	393		206	215	210														ERR278359_01378																
group_164	cirA_2	"TonB-dependent receptor, putative, degenerate"	2	2	1	1	2688	1	242		596	596	596								ERR128814_00018								ERR343073_00343														
group_1681		Methyl-accepting chemotaxis protein	2	2	1	1	1540	1	1237		389	518	453									ERR193205_01220																					
group_1690		hypothetical protein	2	2	1	1	2148	1	727		401	431	416								ERR128814_01187								ERR343073_01307														
group_1691		hypothetical protein	2	2	1	1	2306	1	1322		251	374	312											ERR221374_01626														H1664_01756					
group_1692		hypothetical protein	2	2	1	1	44	1	91		155	203	179											ERR221374_01780		ERR278242_00564																	
group_1693	nucA_2	DNA/RNA non-specific endonuclease	2	2	1	1	409	1	401		650	650	650												ERR278230_00441		ERR278359_01374																
group_1695		type II restriction-modification enzyme	2	2	1	1	2903	1	1280		1163	1163	1163														ERR278359_00223													H1668_01760			
group_170	glpT_1	Glycerol-3-phosphate transporter	2	2	1	1	742	31	1		365	404	384										ERR221288_00029															H1664_00470					
group_1700		Putative integral membrane protein	2	2	1	1	2907	1	1205		1154	2675	1914																	ERR356128_00211													SRR065736_00059
group_1702		hypothetical protein	2	2	1	1	3172	1	610		260	332	296																			H1604_01678				H1608_01536							
group_1705		type I restriction modification DNA specificity domain-containing protein	2	2	1	1	3322	1	429		488	680	584																													H704_01687	SRR065736_01683
group_1790		KAP family P loop domain protein	2	2	1	1	3126	1	73		1697	1697	1697	ERR494558_01401	ERR713656_00964																												
group_1816		conjugal transfer protein VirB5	2	2	1	1	2299	1	886		1160	1160	1160		ERR713656_01776																ERR593768_01787												
group_1819		hypothetical protein	2	2	1	1	2300	1	1314		245	245	245		ERR713656_01779																ERR593768_01790												
group_1823		hypothetical protein	2	2	1	1	2352	1	884		242	242	242		ERR713656_01787																ERR593768_01720												
fic		cell filamentation protein	2	2	1	1	2351	1	883		683	683	683		ERR713656_01788																ERR593768_01719												
group_1832		conjugal transfer relaxosome component TraJ	2	2	1	1	12	1	1336		383	383	383		ERR713656_01800																ERR593768_01815												
group_1838	flgE_1	flagellar hook protein FlgE	2	2	1	1	3029	6	8		2567	2567	2567																														
group_1857		Capsular polysaccharide biosynthesis heptosyltransferase HddD	2	2	1	1	35	1	824		1049	1049	1049																														
group_1858	hddC	capsular polysaccharide heptosyltransferase	2	2	1	1	37	1	826		1973	1973	1973																														
group_1859	rfbF_1	D-glycero-D-manno-heptose 1-phosphate guanosyltransferase	2	2	1	1	38	1	827		695	695	695																														
group_1860	fcl_1	GDP-fucose synthetase	2	2	1	1	26	1	788		1061	1061	1061																														
group_1861		nucleotidyl-sugar pyranose mutase	2	2	1	1	94	1	484		1256	1256	1256																														
group_1862	hyaD_2	putative sugar transferase	2	2	1	1	93	1	483		1886	1886	1886																														
gspA		sugar transferase	2	2	1	1	92	1	482		1346	1346	1346																														
group_1864	glf	UDP-galactopyranose mutase	2	2	1	1	91	1	481		1145	1145	1145																														
group_1865	moaA_2	heme biosynthesis protein	2	2	1	1	90	1	480		1028	1028	1028																														
rfbF_2		glucose-1-phosphate cytidylyltransferase	2	2	1	1	955	1	479		791	791	791																														
group_1867		glycosyltransferase	2	2	1	1	959	1	467		1637	1637	1637																														
group_1890		"Type IV secretory pathway, TrbL components"	2	2	1	1	2334	1	28		1148	1148	1148			ERR278423_01396															ERR593768_01827												
group_1891		hypothetical protein	2	2	1	1	2335	1	29		269	269	269			ERR278423_01397															ERR593768_01826												
group_1892		Antirestriction protein	2	2	1	1	2336	1	30		881	881	881			ERR278423_01398															ERR593768_01760												
group_1893		hypothetical protein	2	2	1	1	2330	1	31		170	170	170			ERR278423_01399															ERR593768_01761												
virD4		VirD4	2	2	1	1	2329	1	32		1886	1886	1886			ERR278423_01400															ERR593768_01762												
group_1895		hypothetical protein	2	2	1	1	2328	1	33		407	407	407			ERR278423_01401															ERR593768_01763												
trbB		conjugative transfer regulon protein	2	2	1	1	2327	1	34		953	953	953			ERR278423_01402															ERR593768_01764												
group_1897		hypothetical protein	2	2	1	1	2326	1	35		200	200	200			ERR278423_01403															ERR593768_01765												
group_1898		VirB10	2	2	1	1	2325	1	36		1136	1136	1136			ERR278423_01404															ERR593768_01766												
group_1899		VirB9	2	2	1	1	2324	1	37		1070	1070	1070			ERR278423_01405															ERR593768_01767												
group_1900	virB8	VirB8	2	2	1	1	2323	1	38		677	677	677			ERR278423_01406															ERR593768_01768												
group_1901		VirB7	2	2	1	1	2322	1	39		128	128	128			ERR278423_01407															ERR593768_01769												
group_1902	ptlC	VirB4	2	2	1	1	2321	1	40		2468	2468	2468			ERR278423_01408															ERR593768_01770												
group_1903		hypothetical protein	2	2	1	1	2320	1	41		242	242	242			ERR278423_01409															ERR593768_01771												
group_1904		hypothetical protein	2	2	1	1	2319	1	42		305	305	305			ERR278423_01410															ERR593768_01772												
group_1905		putative relaxase	2	2	1	1	2318	1	43		1571	1571	1571			ERR278423_01411															ERR593768_01773												
yafQ		putative RelE/StbE family addiction module toxin	2	2	1	1	2316	1	45		269	269	269			ERR278423_01413															ERR593768_01746												
group_1907		hypothetical protein	2	2	1	1	2315	1	46		284	284	284			ERR278423_01414															ERR593768_01747												
group_1908		hypothetical protein	2	2	1	1	2314	1	47		371	371	371			ERR278423_01415															ERR593768_01748												
group_1909		hypothetical protein	2	2	1	1	2313	1	48		368	368	368			ERR278423_01416															ERR593768_01749												
group_1910		hypothetical protein	2	2	1	1	2312	1	24		302	302	302			ERR278423_01417															ERR593768_01712												
group_1911		hypothetical protein	2	2	1	1	2311	1	23		431	431	431			ERR278423_01418															ERR593768_01713												
group_1912		pTet39	2	2	1	1	2310	1	22		395	395	395			ERR278423_01419															ERR593768_01714												
group_1913		hypothetical protein	2	2	1	1	2309	1	21		218	218	218			ERR278423_01420															ERR593768_01715												
group_1914		hypothetical protein	2	2	1	1	2308	1	20		305	305	305			ERR278423_01421															ERR593768_01716												
group_1915		hypothetical protein	2	2	1	1	2307	1	19		344	344	344			ERR278423_01422															ERR593768_01717												
group_1916		hypothetical protein	2	2	1	1	2154	1	18		425	425	425			ERR278423_01423															ERR593768_01755												
group_1917		hypothetical protein	2	2	1	1	2153	1	17		1253	1253	1253			ERR278423_01424															ERR593768_01754												
group_1918		hypothetical protein	2	2	1	1	2152	1	16		740	740	740			ERR278423_01425															ERR593768_01753												
group_1919		cpp45	2	2	1	1	2151	1	14		782	782	782			ERR278423_01426															ERR593768_01752												
group_1920		hypothetical protein	2	2	1	1	2150	1	15		953	953	953			ERR278423_01427															ERR593768_01751												
group_1921		hypothetical protein	2	2	1	1	2349	1	49		1115	1115	1115			ERR278423_01428															ERR593768_01750												
group_1922		hypothetical protein	2	2	1	1	2347	1	868		629	629	629			ERR278423_01430															ERR593768_01757												
group_1923		para protein	2	2	1	1	2346	1	869		668	668	668			ERR278423_01431															ERR593768_01758												
group_1924		hypothetical protein	2	2	1	1	2345	1	870		233	233	233			ERR278423_01433															ERR593768_01759												
group_1927		hypothetical protein	2	2	1	1	2342	1	880		413	413	413			ERR278423_01436															ERR593768_01806												
group_1928		cpp51	2	2	1	1	2341	1	879		470	470	470			ERR278423_01437															ERR593768_01805												
group_1929		hypothetical protein	2	2	1	1	2340	1	878	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	269	269	269			ERR278423_01438															ERR593768_01804												
group_1930		hypothetical protein	2	2	1	1	2339	1	877		608	608	608			ERR278423_01439															ERR593768_01803												
group_1931		hypothetical protein	2	2	1	1	2338	1	876		494	494	494			ERR278423_01440															ERR593768_01802												
group_1932		hypothetical protein	2	2	1	1	2337	1	875		593	593	593			ERR278423_01441															ERR593768_01801												
group_1933		hypothetical protein	2	2	1	1	1688	1	874		176	176	176			ERR278423_01442															ERR593768_01800												
group_1934	ssb_2	putative single stranded DNA binding protein	2	2	1	1	1689	1	873		458	458	458			ERR278423_01443															ERR593768_01799												
group_1935		hypothetical protein	2	2	1	1	1690	1	885		365	365	365			ERR278423_01444															ERR593768_01798												
group_195		FIG00470890: hypothetical protein	2	2	1	1	2976	1	1212		1331	1331	1331											ERR221374_00229															H1666_00006				
group_198		FIG00470890: hypothetical protein	2	2	1	1	1696	1	1094		128	128	128											ERR221374_00612	ERR278230_00556																		
group_1982		hypothetical protein	2	2	1	1	411	1	403		257	257	257														ERR278359_01372																
group_1983		hypothetical protein	2	2	1	1	404	1	398		452	452	452						ERR084064_01422																								
group_1984		Uncharacterized conserved protein	2	2	1	1	395	1	397		1223	1223	1223						ERR084064_01423																								
group_1985	nucA_2	DNA/RNA non-specific endonuclease	2	2	1	1	394	1	396		659	659	659						ERR084064_01424																								
group_1987		"phage repressor protein, putative"	2	2	1	1	392	1	394		731	731	731														ERR278359_01377																
group_1990		FIG00470112: hypothetical protein	2	2	1	1	334	1	373		1139	1139	1139														ERR278359_01391																
group_2007		hypothetical protein	2	2	1	1	2974	1	1213		212	212	212				ERR083948_00003																						H1666_00007				
group_2122		hypothetical protein	2	2	1	1	3162	1	614		176	176	176				ERR083948_01602									ERR278242_01635																	
group_215		sugar transferase	2	2	1	1	61	1	471		212	485	348						ERR084064_00931								ERR278359_01035																
group_217		putative sugar transferase	2	2	1	1	57	1	784		1127	1838	1482				ERR083948_00878		ERR084064_00906																								
group_218		sugar transferase	2	2	1	1	947	1	511		485	1127	806											ERR221374_01207															H1666_01335				
group_22	maf-6_1	motility accessory factor	2	2	1	1	2178	1	744		353	362	357									ERR193205_01823													H1607_01507								
repA		RepA protein	2	2	1	1	3308	1	645		161	161	161						ERR084064_00108								ERR278359_00111																
group_2242	flgE_1	flagellar hook protein FlgE	2	2	1	1	3028	6	3		2558	2558	2558						ERR084064_00187								ERR278359_00190																
group_2250		hypothetical protein	2	2	1	1	1549	1	1218		191	191	191						ERR084064_00336								ERR278359_00461																
group_2258		hypothetical protein	2	2	1	1	1132	1	439		635	635	635						ERR084064_00916								ERR278359_01049																
group_2297		hypothetical protein	2	2	1	1	1890	1	1108		125	125	125						ERR084064_01226				ERR221288_00252																				
group_2299		thioredoxin reductase (NADPH)	2	2	1	1	2276	223	1		596	596	596						ERR084064_01283								ERR278359_01234																
group_2312	maf3	Motility accessory factor 3	2	2	1	1	2591	1	1013		1853	1853	1853						ERR084064_01848								ERR278359_01796																
group_2313		PseD protein	2	2	1	1	2590	1	1014		1964	1964	1964						ERR084064_01849								ERR278359_01797																
group_2314	maf-4	motility accessory factor	2	2	1	1	2589	1	1015		1898	1898	1898						ERR084064_01850								ERR278359_01798																
group_2320	pyrC	dihydroorotase	2	2	1	1	1535	1	1253		995	995	995																														
group_2321		D12 class N6 adenine-specific DNA methyltransferase	2	2	1	1	1534	1	1252		3152	3152	3152																														
group_2322		SAM-dependent methyltransferase	2	2	1	1	1533	1	1219		710	710	710																														
cmgB6		TrbL/VirB6 plasmid conjugal transfer protein	2	2	1	1	917	1	516		995	995	995																														
group_2348		FIG00470444: hypothetical protein	2	2	1	1	2614	1	673		1277	1277	1277								ERR128814_00395								ERR343073_00722														
group_237		carbonic anyhydrase	2	2	1	1	2543	1	994		716	1169	942																														
group_2395		aminoglycoside N3-acetyltransferase	2	2	1	1	2523	1	962		158	158	158								ERR128814_00928								ERR343073_01259														
group_240	maf-2	maf-2	2	2	1	1	1544	1	1246		851	1949	1400							ERR108372_00250			ERR221288_00836																				
group_2401		toxin-like outer membrane protein	2	2	1	1	2469	30	5		179	179	179								ERR128814_00980								ERR343073_01779														
group_2420		cpp15	2	2	1	1	2142	1	733		134	134	134								ERR128814_01181								ERR343073_01301														
group_2434		hypothetical protein	2	2	1	1	1419	1	1196		206	206	206								ERR128814_01579															H1608_00003							
group_2435		hypothetical protein	2	2	1	1	2987	1	1197		140	140	140								ERR128814_01582					ERR278242_00269																	
group_2457	flgE_1	flagellar hook protein FlgE	2	2	1	1	1408	6	4		2534	2534	2534										ERR221288_01608															H1664_00184					
group_246	kgtP_1	alpha-ketoglutarate permease	2	2	1	1	3252	37	4		374	683	528														ERR278359_00057												H1666_01055				
group_2464		hypothetical protein	2	2	1	1	1506	1	1226		134	134	134												ERR278230_00110	ERR278242_00111																	
group_2466		hypothetical protein	2	2	1	1	2690	113	1	Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits	194	194	194												ERR278230_00412	ERR278242_00745																	
group_2470		hypothetical protein	2	2	1	1	414	1	406		227	227	227												ERR278230_00434		ERR278359_01368																
group_2472		hypothetical protein	2	2	1	1	410	1	402		827	827	827												ERR278230_00440		ERR278359_01373																
group_2494	pseH	"N-acetyltransferase specific for PseC product,UDP-4-amino-4,6-dideoxy-beta-L-AltNAc"	2	2	1	1	2595	22	1		473	473	473														ERR278359_01791											H1664_01456					
group_2496	flgE_1	Flagellar hook subunit protein	2	2	1	1	3026	6	13		2597	2597	2597															ERR278461_00172		ERR356128_00173													
group_2517		hypothetical protein	2	2	1	1	2506	1	1017		125	125	125																ERR343073_01288				H1605_01495										
group_2522		sensor protein kdpD	2	2	1	1	1802	4	7		161	161	161																	ERR356128_00861										H1668_00836			
group_2523		hypothetical protein	2	2	1	1	1651	1	147		185	185	185																	ERR356128_00885										H1668_00216			
group_2524		phage protein	2	2	1	1	1655	1	148		425	425	425																	ERR356128_00887										H1668_00214			
group_2525		KAP family P loop domain protein	2	2	1	1	3091	1	89		1715	1715	1715																	ERR356128_00932										H1668_00169			
group_254		TAT (twin-arginine translocation) pathway signal sequence domain protein	2	2	1	1	2024	1	1177		731	1781	1256															ERR278461_00321						H1606_00116									
group_2627		RloC protein	2	2	1	1	2971	1	1283		2144	2144	2144																			H1604_00094						H1664_00217					
group_2628		hypothetical protein	2	2	1	1	2908	1	1206		512	512	512																			H1604_00095						H1664_00218					
group_2650		FIG00471770: hypothetical protein	2	2	1	1	538	1	74		200	200	200																					H1606_00989	H1607_01722								
group_2651		TP901 family tail tape measure protein	2	2	1	1	3098	1	102		2216	2216	2216																					H1606_00996	H1607_01715								
group_2652		hypothetical protein	2	2	1	1	1422	1	113		770	770	770																					H1606_01027	H1607_01684								
group_2653		hypothetical protein	2	2	1	1	1421	1	112		200	200	200																					H1606_01028	H1607_01683								
group_2654		conserved hypothetical protein TIGR01671	2	2	1	1	1654	1	149		374	374	374																					H1606_01036	H1607_01675								
group_2655		hypothetical protein	2	2	1	1	1653	1	156		272	272	272																					H1606_01037	H1607_01674								
group_2656		host-nuclease inhibitor protein Gam	2	2	1	1	1652	1	157		485	485	485																					H1606_01038	H1607_01673								
group_266	pic	serine protease pet	2	2	1	1	1497	5	3		131	131	131								ERR128814_01396								ERR343073_01514														
group_2683		inner membrane metabolite transport protein YdfJ	2	2	1	1	2787	186	1		212	212	212																													H704_00349	SRR065736_01671
hsdM_2		"Type I restriction-modification system, DNA-methyltransferase subunit M"	2	2	1	1	1723	1	272		1910	1910	1910																													H704_00764	SRR065736_01704
group_2687		hypothetical protein	2	2	1	1	1709	1	269		989	989	989																													H704_01693	SRR065736_01701
group_269	pic	serine protease eatA precursor	2	2	1	1	1495	5	4		131	143	137										ERR221288_01381																	H1668_00369			
group_29		FIG00469527: hypothetical protein	2	2	1	1	2521	1	960		1226	1226	1226	ERR494558_01493		ERR278423_01146																											
group_299		Putative periplasmic protein	2	2	1	1	1933	44	3		308	308	308				ERR083948_00059									ERR278242_00336																	
group_302	citN	"citrate-Mg2+:H+ or citrate-Ca2+:H+ symporter, CitMHS family"	2	2	1	1	1630	1	165		236	1346	791					ERR083973_00180																									
group_308		Sodium-dependent phosphate transporter	2	2	1	1	1164	219	1		866	866	866						ERR084064_00602								ERR278359_00728																
group_315		K+-transporting ATPase ATPase C chain	2	2	1	1	1768	4	9		251	284	267																	ERR356128_00859										H1668_00834			
group_345		FIG00470444: hypothetical protein	2	2	1	1	3115	1	1210		287	497	392												ERR278230_01589														H1666_01086				
group_346		FIG00470444: hypothetical protein	2	2	1	1	95	1	1302		278	662	470											ERR221374_00316												H1608_01575							
group_354		methyltransferase	2	2	1	1	2187	140	3		218	362	290																		ERR593768_00343							H1664_00356					
group_360		hypothetical protein	2	2	1	1	1153	3	12		425	425	425																													H704_00579	SRR065736_00593
mnmC_2		5-methylaminomethyl-2-thiouridine methyltransferase	2	2	1	1	260	54	2		785	1841	1313																								H1662_01364	H1664_01411					
group_377	dcuD_3	"C4-dicarboxylate transporter, DcuC family"	2	2	1	1	2431	11	3		536	536	536			ERR278423_01234														ERR356128_01106													
group_381		Putative periplasmic protein	2	2	1	1	2317	1	44		392	392	392			ERR278423_01412															ERR593768_01745												
group_395		PseD	2	2	1	1	3117	1	92		776	1079	927																							H1608_01541			H1666_01633				
group_403	ybhI_1	C4-dicarboxylate transporter	2	2	1	1	2916	134	1		239	239	239			ERR278423_00225																											
group_41	tsr	methyl-accepting chemotaxis protein	2	2	1	1	1541	1	1232		710	1262	986				ERR083948_01468																						H1666_00219				
secA_2		Protein export cytoplasm protein SecA ATPase RNA helicase (TC 3.A.5.1.1)	2	2	1	1	2549	1	740		581	1664	1122																						H1607_01810						H1670_01108		
group_441	bdlA_1	methyl-accepting chemotaxis protein	2	2	1	1	97	222	1		125	971	548								ERR128814_00729						ERR278359_01589																
group_442		glycosyltransferase	2	2	1	1	2224	1	1348		716	716	716																														
group_452		aminoglycoside N3'-acetyltransferase	2	2	1	1	276	1	974		263	356	309																			H1604_01330											SRR065736_01254
group_464		sugar transferase	2	2	1	1	1126	1	853		1151	1169	1160																														
group_48		methyl-accepting chemotaxis signal transduction protein	2	2	1	1	1531	1	1221		1046	1343	1194																														
group_49	trg	methyl-accepting chemotaxis protein	2	2	1	1	1532	1	1220		440	590	515																														
group_492		Putative integral membrane protein	2	2	1	1	2963	1	1214		2309	2519	2414	ERR494558_00210	ERR713656_00426																												
lysS_1		lysyl-tRNA synthetase	2	2	1	1	2747	236	1		740	740	740																					H1606_00361									SRR065736_00423
group_531		Menaquinone via futalosine step 3	2	2	1	1	2705	251	1		392	926	659																									H1664_00651		H1668_00606			
group_538		periplasmic protein	2	2	1	1	1235	162	1		1151	1412	1281																			H1604_00581									H1670_00701		
group_552		periplasmic ATP/GTP binding protein	2	2	1	1	555	34	1		269	851	560						ERR084064_01564									ERR278461_01447															
group_56	maf1	PseD protein	2	2	1	1	2564	1	897		359	1523	941			ERR278423_01176						ERR193205_00993																					
wlaN_1		"beta-1,3 galactosyltransferase"	2	2	1	1	96	1	512		584	584	584																														
group_57	maf1	motility accessory factor	2	2	1	1	2585	1	915		122	341	231							ERR108372_00043																							
group_64		FIG00470444: hypothetical protein	2	2	1	1	2260	1	671		398	413	405															ERR278461_01219		ERR356128_01278													
group_656	argC	N-acetyl-gamma-glutamyl-phosphate reductase	2	2	1	1	1494	5	26		740	1028	884																				H1605_00382							H1668_00370			
group_674		FIG00469705: hypothetical protein	2	2	1	1	2751	138	3		170	785	477																						H1607_00341			H1664_00563					
group_695		Putative periplasmic solute-binding protein	2	2	1	1	1758	41	2		143	143	143						ERR084064_00810								ERR278359_00935																
group_700	napL	NapL	2	2	1	1	1897	71	2		182	914	548																		ERR593768_00996				H1607_00747								
group_762		plasmid-related lipoprotein	2	2	1	1	819	1	52		266	287	276																		ERR593768_01723							H1664_01666					
group_78	flaB_3	flagellin	2	2	1	1	2376	1	934		335	590	462			ERR278423_01179																											
group_807		cpp14	2	2	1	1	1033	1	1071		713	5798	3255						ERR084064_01223																								
group_808		hypothetical protein	2	2	1	1	2136	1	659		842	842	842								ERR128814_00610								ERR343073_00939														
group_809		Phage protein C	2	2	1	1	2134	1	739		374	974	674																ERR343073_01297				H1605_01738										
group_812	hisC_2	Histidinol-phosphate aminotransferase	2	2	1	1	969	1	449		896	896	896															ERR278461_01097		ERR356128_01155													
trpB_1		tryptophan synthase subunit beta	2	2	1	1	2799	66	2		368	1178	773																											H1668_00488			SRR065736_01680
group_977		Filamentous haemagglutinin domain protein	2	2	1	1	473	1	1373		392	392	392						ERR084064_01495								ERR278359_01444																
group_10		Motility accessory factor	1	1	1	1	1020	1	1030		1502	1502	1502										ERR221288_00853																				
group_100	flaB_1	flagellin	1	1	1	1	2226	1	1350		503	503	503																														
group_101	flaA_3	flagellin	1	1	1	1	2225	1	1349		233	233	233																														
dccR_1		two-component regulator	1	1	1	1	1475	245	1		212	212	212																									H1664_01362					
flaA_5		flagellin	1	1	1	1	2382	1	944		332	332	332	ERR494558_01762																													
selA_2		selenocysteine synthase	1	1	1	1	2395	161	1		515	515	515																												H1670_01538		
group_106	flaA_2	flagellin	1	1	1	1	2380	1	1298		314	314	314										ERR221288_01332																				
tagF_1		putative CDP glycerol glycerophosphotransferase	1	1	1	1	46	1	498		329	329	329																												H1670_01583		
group_1068		integral membrane protein	1	1	1	1	984	264	1		296	296	296																														
group_1069		integral membrane protein	1	1	1	1	22	265	1		296	296	296																														
group_107	flaA_1	flagellin	1	1	1	1	1545	1	1247		212	212	212							ERR108372_00249																							
group_1078		FIG00469556: hypothetical protein	1	1	1	1	988	255	1		182	182	182																											H1668_01641			
group_1081		"formate dehydrogenase, alpha subunit"	1	1	1	1	1065	110	1		266	266	266																							H1608_01352							
group_1107		"prophage MuSo1, F protein"	1	1	1	1	2606	262	1		947	947	947																														
group_111		"conserved hypothetical protein, degenerate"	1	1	1	1	1876	1	1081		1466	1466	1466																											H1668_00896			
group_1111		hypothetical protein	1	1	1	1	3151	1	638		278	278	278																							H1608_01533							
group_1118		Predicted helicase	1	1	1	1	3130	1	622		485	485	485																							H1608_01596							
group_112		"conserved hypothetical protein, degenerate"	1	1	1	1	1754	1	1090		1160	1160	1160																														
group_113		"conserved hypothetical protein, degenerate"	1	1	1	1	1877	1	1087		1160	1160	1160																														
group_1134		insertase	1	1	1	1	138	75	1		410	410	410																												H1670_01124		
group_114		"conserved hypothetical protein, degenerate"	1	1	1	1	1753	1	1089		1160	1160	1160																				H1605_00904										
group_1148		Hydrolase (HAD superfamily)-like protein	1	1	1	1	677	1	807		257	257	257																						H1607_01158								
group_1157		cpp12	1	1	1	1	2138	1	735		167	167	167																				H1605_01740										
group_1158		cpp12	1	1	1	1	2135	1	738		167	167	167																ERR343073_01298														
group_1159		cpp12	1	1	1	1	2139	1	736		167	167	167								ERR128814_01178																						
group_1163		flagellar basal-body rod protein FlgG (Distal rod protein)	1	1	1	1	2231	1	1352		284	284	284																									H1664_01658					
group_1165		hypothetical protein	1	1	1	1	119	1	715		287	287	287																				H1605_01178										
group_1168		formyl transferase domain-containing protein	1	1	1	1	2522	1	961		146	146	146																				H1605_01470										
group_117		"conserved hypothetical protein, degenerate"	1	1	1	1	1752	1	1082		1904	1904	1904																													H704_00747	
