Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,OXC8500,OXC8749,OXC8885,OXC4567,OXC6332,OXC6357,OXC6453,OXC6609,OXC6729,OXC7157,OXC7004,OXC7095,OXC7345,OXC7358,OXC7452,OXC4632,OXC7664,OXC6927,H1604,H1605,H1606,H1607,H1608,H1662,H1664,H1666,H1668,H1670,H704,H22082
group_1537,,prophage Lp2 protein 6,10,10,1,1,2048,200,1,,1043,1043,1043,OXC8500_00299,OXC8749_00169,,OXC4567_00475,,,OXC6453_00408,,,,,,,,OXC7452_00467,,,,,,,,,H1662_00260,H1664_00737,,H1668_00965,H1670_00685,,
tagD,,putative glycerol-3-phosphate cytidylyltransferase,10,10,1,1,397,3,97,,389,389,389,OXC8500_00707,OXC8749_01678,,OXC4567_01167,,,,,,,,,,,,,,,,,,,,H1662_00902,,,,H1670_01014,,
group_1570,,flagellin modification protein PtmF,10,10,1,1,606,1,94,,905,905,905,OXC8500_00930,OXC8749_00773,,OXC4567_01788,,,,,,,,,,,,,,,,,,,,H1662_01257,,,,H1670_01274,,
group_1601,,hypothetical protein,10,10,1,1,2809,2,111,,185,185,185,OXC8500_01094,OXC8749_00061,OXC8885_01242,,,,,,,OXC7157_00561,,,,,,,,OXC6927_00760,,,H1606_01281,H1607_01247,,,,H1666_01224,H1668_00241,,,
group_212,,CRISPR-associated protein,10,10,1,1,302,7,16,,269,2954,2436,,,,,,OXC6357_00256,,OXC6609_00250,OXC6729_00360,,OXC7004_00965,,,,,,OXC7664_01305,,,H1605_01093,,,H1608_01301,,,,,,,H22082_00733
kdpB_2,,putative potassium-transporting ATPase subunit B N-terminus,10,10,1,1,1888,13,10,,236,1067,513,,,,,,OXC6357_00693,,OXC6609_00651,OXC6729_01146,OXC7157_00796,,,,,,,OXC7664_00663,OXC6927_00734,,H1605_00564,H1606_00451,H1607_00430,,,,,H1668_01010,,,
group_2418,,Microvirus H protein (pilot protein),10,10,1,2,3,36,5,,986,986,986,,,,,,,,,,,,,,,,,,,H1604_01574,H1605_01480,H1606_00947,H1607_01560,H1608_01165,H1662_01160,H1664_01085,H1666_01746,H1668_01155,H1670_01174,,
group_250,,putative integral membrane protein,10,10,1,1,929,47,1,,326,821,648,OXC8500_01325,OXC8749_01114,OXC8885_00262,OXC4567_01450,,,,,,,,,,,,,,,,,,,,H1662_01599,,,,H1670_01619,H704_00571,H22082_01339
group_320,,UPF0246 protein YaaA,10,10,1,1,2511,65,1,,461,740,572,OXC8500_01328,OXC8749_01117,OXC8885_00265,OXC4567_01447,,,,,,,,,,,,,,,,,,,,H1662_01602,,,,H1670_01622,H704_00568,H22082_01336
kgtP_3,,major facilitator superfamily protein,10,10,1,1,1121,61,1,,359,1310,714,,,,,OXC6332_01148,,OXC6453_00975,,,,,OXC7095_00791,OXC7345_01124,OXC7358_00595,OXC7452_01039,,,,,,,,H1608_00717,,H1664_01069,H1666_00932,,,,H22082_00981
group_408,,hypothetical protein,10,15,1.5,1,53,1,116,Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits,209,524,365,,,OXC8885_01768,,,"OXC6357_01748	OXC6357_01747",,OXC6609_01547,,OXC7157_01777,OXC7004_01551,,,,,,,,,,H1606_00938,"H1607_01573	H1607_01574",,,,,,,"H704_00148	H704_00147","H22082_01363	H22082_01362"
wlaN_1,,"beta-1,3 galactosyltransferase",10,10,1,1,3,169,7,,341,911,627,OXC8500_01174,OXC8749_00960,,OXC4567_01601,,,,,,,,,,,,OXC4632_01399,,OXC6927_01560,,,,,,,,,H1668_01458,H1670_01466,,
group_448,hrcA,heat-inducible transcription repressor,10,10,1,1,2256,14,10,,419,791,753,,,,,OXC6332_00716,,,,,,,OXC7095_00226,OXC7345_01419,OXC7358_01173,,,,,H1604_01567,,,,H1608_01114,,,H1666_01567,,H1670_01164,H704_01522,H22082_01509
group_463,,glycosyl transferase family 2,10,10,1,1,448,3,93,,485,725,677,OXC8500_01735,OXC8749_01672,,OXC4567_01161,,,OXC6453_01175,,,,,,,,OXC7452_00015,,,,,,,,H1608_01203,H1662_01132,,,,H1670_01006,,
group_544,,FIG00470474: hypothetical protein,10,10,1,1,2669,26,4,,824,1337,1283,,,,,OXC6332_01561,,OXC6453_00791,,,,,OXC7095_01536,OXC7345_01018,OXC7358_00490,OXC7452_00247,,,,,,,,H1608_01186,,H1664_00962,H1666_01652,,,,
group_565,,Mu-like prophage protein gp29,10,10,1,1,2753,2,58,,389,1370,977,,,OXC8885_01069,,,,,,,OXC7157_00547,,OXC7095_01082,OXC7345_00510,,,,,OXC6927_00777,,,H1606_01263,H1607_01229,H1608_01077,,,H1666_01207,H1668_00258,,,
group_612,maf7,motility accessory factor,10,10,1,1,81,1,74,,599,1250,1054,OXC8500_01648,OXC8749_01651,,OXC4567_00903,,,,,,,,,,,OXC7452_00663,,,,,,,,,H1662_01170,,,,H1670_01264,,
group_720,,membrane protein,10,10,1,1,2145,87,1,,314,953,825,OXC8500_00377,OXC8749_00248,,OXC4567_00553,,,,,OXC6729_01268,,,,,,,,OXC7664_00786,,,H1605_00442,,,,H1662_00181,,,H1668_00887,H1670_00765,,
group_861,,Filamentous haemagglutinin domain protein,10,10,1,1,2495,15,14,,302,608,512,,,,,,OXC6357_01514,OXC6453_01452,OXC6609_00921,,OXC7157_01419,OXC7004_01188,,,,OXC7452_01405,,,,,,H1606_01175,H1607_01140,,,H1664_01526,,,,,
group_928,,ketosteroid isomerase,10,10,1,1,479,3,91,,224,335,312,OXC8500_01736,OXC8749_01671,,OXC4567_01160,,,OXC6453_01177,,,,,,,,OXC7452_00017,,,,,,,,,H1662_01131,H1664_01757,,,H1670_01005,,
kfoC_1,,lipooligosaccharide biosynthesis glycosyltransferase,10,10,1,1,876,220,17,,242,1550,1417,,,OXC8885_01439,,,,OXC6453_01622,,OXC6729_01554,,,,,,OXC7452_01575,,OXC7664_01054,,H1604_00625,H1605_01276,,,,,H1664_01355,,,,H704_00953,H22082_00786
group_965,,cell filamentation protein Fic,10,10,1,1,186,6,2,,671,1070,950,,,,,OXC6332_01052,OXC6357_00229,,,,,,OXC7095_01437,OXC7345_01768,OXC7358_00796,,,,,H1604_01258,,,,H1608_01333,,,H1666_00326,,,H704_01215,H22082_00762
group_106,,"cytochrome c family protein, degenerate",9,9,1,1,2392,9,2,,212,377,322,,,,,,OXC6357_01618,,OXC6609_01129,,OXC7157_01318,OXC7004_01087,,,,,OXC4632_01137,,OXC6927_01297,,,H1606_01074,H1607_01041,,,,,H1668_01722,,,
group_1142,chuA,TonB-dependent heme receptor,9,9,1,1,1569,216,1,,2129,2132,2131,OXC8500_00551,OXC8749_00620,,OXC4567_00049,,,,,OXC6729_00157,,,,,,,,OXC7664_00152,,,H1605_00153,,,,H1662_00699,,,,H1670_00157,,
group_1415,,FIG00470635: hypothetical protein,9,9,1,1,1040,5,116,,449,449,449,,,,OXC4567_00620,,,OXC6453_01404,,,,,,OXC7345_01237,,OXC7452_01359,,,OXC6927_01735,,,,,,H1662_00113,,,,H1670_00452,,
group_1454,,glycosyltransferase,9,9,1,1,401,3,115,,1628,1634,1630,,,,,OXC6332_00936,,,,,,,OXC7095_01322,OXC7345_01653,OXC7358_00680,,OXC4632_00470,,OXC6927_00977,,,,,H1608_01218,,,H1666_00211,H1668_00753,,,
group_1460,cirA_2,"TonB-dependent receptor, putative, degenerate",9,9,1,1,1470,2,14,,596,884,788,,,,,,OXC6357_01166,,OXC6609_00302,OXC6729_01379,OXC7157_00513,OXC7004_00346,,,,,,OXC7664_00897,,,H1605_00330,H1606_00222,H1607_00518,,,,,,,,
group_1461,,exporting protein,9,9,1,1,2201,5,2,,149,149,149,,,,,OXC6332_01219,,OXC6453_00272,,,,,OXC7095_01121,OXC7345_01246,OXC7358_00621,OXC7452_00602,,,,,,,,H1608_00057,,H1664_00602,H1666_01258,,,,
group_1463,,integral membrane protein,9,9,1,1,1444,51,1,,368,422,386,,,,,OXC6332_01436,,OXC6453_01155,,,,,OXC7095_00891,OXC7345_00372,OXC7358_00815,OXC7452_00864,,,,,,,,H1608_00622,,H1664_00530,H1666_00200,,,,
group_1464,,"Lipoprotein, putative",9,9,1,1,1445,51,2,,293,353,333,,,,,OXC6332_01437,,OXC6453_01156,,,,,OXC7095_00890,OXC7345_00373,OXC7358_00814,OXC7452_00863,,,,,,,,H1608_00623,,H1664_00531,H1666_00201,,,,
group_1465,,integral membrane protein,9,9,1,1,1446,51,3,,383,467,411,,,,,OXC6332_01438,,OXC6453_01157,,,,,OXC7095_00889,OXC7345_00374,OXC7358_00813,OXC7452_00862,,,,,,,,H1608_00624,,H1664_00532,H1666_00202,,,,
group_1469,,IncF plasmid conjugative transfer protein TraG,9,9,1,1,913,29,11,,314,1601,743,,,,,OXC6332_01626,,,,OXC6729_00806,,,OXC7095_01615,OXC7345_01536,OXC7358_01295,,,OXC7664_01481,,,H1605_01489,,,H1608_00912,,,H1666_01405,,,,
group_1471,,"inner membrane protein, 60 kDa",9,9,1,1,1706,8,7,,287,296,293,,,,,,OXC6357_00112,OXC6453_00106,OXC6609_00473,,OXC7157_00114,OXC7004_00106,,,,OXC7452_00132,,,,,,H1606_00112,H1607_00814,,,H1664_00219,,,,,
group_1472,,hypothetical protein,9,9,1,1,1701,8,13,,1037,1190,1088,,,,,,OXC6357_00117,OXC6453_00101,OXC6609_00478,,OXC7157_00109,OXC7004_00101,,,,OXC7452_00127,,,,,,H1606_00117,H1607_00809,,,H1664_00214,,,,,
group_1473,,hypothetical protein,9,9,1,1,1546,8,16,,680,1115,825,,,,,,OXC6357_00118,OXC6453_00100,OXC6609_00479,,OXC7157_00108,OXC7004_00100,,,,OXC7452_00126,,,,,,H1606_00118,H1607_00808,,,H1664_00213,,,,,
group_1474,,hypothetical protein,9,9,1,1,1549,8,20,,368,368,368,,,,,,OXC6357_00124,OXC6453_00095,OXC6609_00485,,OXC7157_00102,OXC7004_00094,,,,OXC7452_00121,,,,,,H1606_00124,H1607_00802,,,H1664_00208,,,,,
group_1475,,cpp21,9,9,1,1,1552,8,22,,554,641,583,,,,,,OXC6357_00126,OXC6453_00093,OXC6609_00487,,OXC7157_00100,OXC7004_00092,,,,OXC7452_00119,,,,,,H1606_00126,H1607_00800,,,H1664_00206,,,,,
group_1476,,FIG00470714: hypothetical protein,9,9,1,1,104,3,41,,593,593,593,,,,,,OXC6357_00431,,OXC6609_00092,OXC6729_00448,OXC7157_01071,OXC7004_01656,,,,,,OXC7664_01393,,,H1605_01003,H1606_01674,H1607_01669,,,,,,,,
udk,,haloacid dehalogenase-like hydrolase,9,9,1,1,105,3,40,,1301,1301,1301,,,,,,OXC6357_00432,,OXC6609_00093,OXC6729_00449,OXC7157_01070,OXC7004_01657,,,,,,OXC7664_01394,,,H1605_01002,H1606_01673,H1607_01668,,,,,,,,
group_1480,,bacteriocin-type signal sequence domain-containing protein,9,9,1,1,2560,167,2,,485,515,505,,,,,,OXC6357_01019,,OXC6609_01039,OXC6729_00231,OXC7157_00954,OXC7004_00308,,,,,,OXC7664_00292,,,H1605_00228,H1606_00735,H1607_00088,,,,,,,,
group_1485,astA_1,arylsulfate sulfotransferase,9,9,1,1,2382,9,6,,215,236,222,,,,,,OXC6357_01623,,OXC6609_01134,,OXC7157_01313,OXC7004_01082,,,,,OXC4632_01132,,OXC6927_01292,,,H1606_01069,H1607_01036,,,,,H1668_01727,,,
group_1577,,hypothetical protein,9,9,1,1,2849,2,28,,194,194,194,OXC8500_01049,OXC8749_00016,OXC8885_01040,,,,,,,OXC7157_00518,,,,,,,,OXC6927_00806,,,H1606_01234,H1607_01200,,,,,H1668_00288,,,
group_1683,,FIG00470047: hypothetical protein,9,9,1,1,2836,2,42,,371,371,371,,,OXC8885_01050,,,,,,,OXC7157_00528,,OXC7095_01101,OXC7345_00529,,,,,OXC6927_00796,,,,,H1608_01096,,,H1666_01188,H1668_00278,,,
group_1721,,FIG00472425: hypothetical protein,9,9,1,1,1042,5,24,,635,635,635,,,,OXC4567_00619,,,OXC6453_01405,,,,,,OXC7345_01238,,OXC7452_01360,,,OXC6927_01734,,,,,,H1662_00114,,,,H1670_00451,,
group_176,,membrane protein,9,9,1,1,172,6,19,,539,947,675,,,,,OXC6332_01059,OXC6357_00222,,OXC6609_00283,,,OXC7004_00932,OXC7095_01444,OXC7345_01775,OXC7358_00803,,,,,,,,,H1608_01340,,,H1666_00333,,,,
group_188,gmd,"GDP-mannose 4,6-dehydratase",9,9,1,1,131,3,138,,197,1034,664,,,,,OXC6332_00929,,OXC6453_01167,,,,,OXC7095_01467,OXC7345_01490,OXC7358_00464,OXC7452_00006,,,,,,,,H1608_01211,,H1664_01746,H1666_01612,,,,
group_1904,hisS,Histidyl-tRNA synthetase,9,9,1,1,2228,149,1,,1226,1226,1226,,,,,OXC6332_00733,,OXC6453_01201,,,,,OXC7095_00243,OXC7345_01436,OXC7358_01156,OXC7452_01154,,,,,,,,H1608_01131,,H1664_01729,H1666_01550,,,,
group_1911,,capsular polysaccharide biosynthesis protein,9,9,1,1,460,3,82,,2018,2018,2018,,,,,OXC6332_00912,,OXC6453_01185,,,,,OXC7095_01451,OXC7345_01474,OXC7358_00481,OXC7452_00024,,,,,,,,H1608_01193,,H1664_01765,H1666_01595,,,,
group_1971,,Helix-turn-helix domain,9,9,1,1,1548,8,18,,182,182,182,,,,,,OXC6357_00121,OXC6453_00098,OXC6609_00482,,OXC7157_00105,OXC7004_00097,,,,OXC7452_00124,,,,,,H1606_00121,H1607_00805,,,H1664_00211,,,,,
group_1998,,FIG00469622: hypothetical protein,9,9,1,1,2115,10,11,,305,305,305,,,,,,OXC6357_00589,,OXC6609_01417,OXC6729_01252,OXC7157_00691,OXC7004_00862,,,,,,OXC7664_00770,,,H1605_00458,H1606_00347,H1607_00642,,,,,,,,
pseD,,motility accessory factor,9,10,1.12,1,603,1,90,,182,1952,1145,,,,,,OXC6357_01737,,,,OXC7157_01785,,,,,,,,OXC6927_01812,H1604_01740,,,,,H1662_01254,,,H1668_01266,H1670_01271,,
group_20,,carbonic anyhydrase,9,9,1,1,659,1,36,,170,1217,546,OXC8500_00956,,OXC8885_01604,OXC4567_01762,,OXC6357_00980,,,,,,,,,,OXC4632_01564,,OXC6927_01781,,,,,,H1662_01284,,,H1668_01295,,,
group_2012,porA_2,Major outer membrane protein,9,9,1,1,31,251,1,,1295,1295,1295,,,,,,OXC6357_00934,,OXC6609_00243,OXC6729_01674,OXC7157_01713,OXC7004_01461,,,,,,OXC7664_01174,,,H1605_01397,H1606_01523,H1607_01489,,,,,,,,
group_2016,,FIG00470444: hypothetical protein,9,9,1,1,2630,167,3,,1148,1148,1148,,,,,,OXC6357_01018,,OXC6609_01040,OXC6729_00230,OXC7157_00955,OXC7004_00309,,,,,,OXC7664_00293,,,H1605_00227,H1606_00736,H1607_00089,,,,,,,,
hsdM_2,,Type I restriction-modification enzyme M subunit,9,9,1,1,2884,176,2,,2063,2063,2063,,,,,,OXC6357_01433,OXC6453_01531,OXC6609_00840,,OXC7157_01500,OXC7004_01268,,,,OXC7452_01483,,,,,,H1606_01311,H1607_01277,,,H1664_01447,,,,,
group_2028,,RlfA,9,9,1,1,2883,176,3,,722,725,724,,,,,,OXC6357_01434,OXC6453_01530,OXC6609_00841,,OXC7157_01499,OXC7004_01267,,,,OXC7452_01482,,,,,,H1606_01310,H1607_01276,,,H1664_01448,,,,,
group_2029,,FIG00469921: hypothetical protein,9,9,1,1,2882,176,5,,503,503,503,,,,,,OXC6357_01435,OXC6453_01529,OXC6609_00842,,OXC7157_01498,OXC7004_01266,,,,OXC7452_01481,,,,,,H1606_01309,H1607_01275,,,H1664_01449,,,,,
mcp4_3,,methyl-accepting chemotaxis protein,9,9,1,1,2470,52,2,,533,533,533,,,,,,OXC6357_01533,,OXC6609_00940,OXC6729_00877,OXC7157_01400,OXC7004_01169,,,,,,OXC7664_01552,,,H1605_01561,H1606_01156,H1607_01121,,,,,,,,
group_2035,,Hydroxyacylglutathione hydrolase,9,9,1,1,2315,253,1,,596,596,596,,,,,,OXC6357_01676,,OXC6609_01567,OXC6729_01016,OXC7157_01260,OXC7004_01029,,,,,,OXC7664_01694,,,H1605_01701,H1606_01016,H1607_00983,,,,,,,,
group_2036,grpE,heat shock protein GrpE,9,9,1,1,2244,14,12,,527,527,527,,,,,,OXC6357_01728,,OXC6609_01618,OXC6729_01068,OXC7157_01208,OXC7004_00977,,,,,,OXC7664_01746,,,H1605_01753,H1606_00964,H1607_00930,,,,,,,,
group_204,,A24 family peptidase,9,9,1,1,2335,60,2,,332,434,422,,,,,OXC6332_01734,,,,,,,OXC7095_01723,OXC7345_01644,OXC7358_01186,,,,,,,,,H1608_01021,H1662_01757,H1664_01670,H1666_01514,,,,
group_2084,,C4-dicarboxylate transporter degenerate,9,9,1,1,2621,242,2,,305,305,305,,,,,,,OXC6453_00698,,,,,,,,OXC7452_00338,OXC4632_00339,,OXC6927_00390,H1604_00109,,,,,,H1664_00870,,H1668_00314,,H704_01046,H22082_00864
group_2185,,FIG00469420: hypothetical protein,9,9,1,1,2216,260,1,,2096,2111,2101,,,,,,OXC6357_01640,,OXC6609_01151,OXC6729_00980,OXC7157_01296,OXC7004_01065,,,,,,OXC7664_01658,,,H1605_01665,H1606_01052,H1607_01019,,,,,,,,
group_26,kdpB_1,putative potassium-transporting ATPase subunit B N-terminus,9,9,1,1,1889,13,25,,752,1067,843,,,,,,OXC6357_00692,OXC6453_00451,OXC6609_00652,,OXC7157_00795,OXC7004_00759,,,,OXC7452_00424,,,,,,H1606_00450,H1607_00429,,,H1664_00782,,,,,
group_260,trg,methyl-accepting chemotaxis protein,9,9,1,1,1265,11,23,,440,2120,980,,,,,,OXC6357_01296,,,OXC6729_00634,OXC7157_00979,OXC7004_00578,OXC7095_00776,,,,OXC4632_00474,OXC7664_00485,,,,,,,,,H1666_01622,,,,
group_271,,FIG00470444: hypothetical protein,9,9,1,1,2300,55,2,,497,968,850,,,,,,OXC6357_01691,,OXC6609_01582,OXC6729_01031,OXC7157_01245,OXC7004_01014,,,,,,OXC7664_01709,,,H1605_01716,H1606_01001,H1607_00968,,,,,,,,
ybhI,,C4-dicarboxylate transporter,9,9,1,1,2563,171,3,,239,239,239,,,,,,OXC6357_01014,,OXC6609_01044,OXC6729_00226,OXC7157_00959,OXC7004_00313,,,,,,OXC7664_00297,,,H1605_00223,H1606_00740,H1607_00093,,,,,,,,
group_312,,FIG00469527: hypothetical protein,9,9,1,1,642,1,57,,605,1214,1007,OXC8500_00949,OXC8749_00792,,OXC4567_01769,,,,,,,,,,,,,,,H1604_01717,,,,,H1662_01277,,,,H1670_01293,,
group_346,,adhesion protein,9,9,1,1,1539,175,6,,413,536,499,,,OXC8885_00059,,,,,,,,,,,,,OXC4632_00948,,OXC6927_00688,H1604_01033,,,,,,,,,,,H22082_01495
group_377,potA,spermidine/putrescine transport system ATP-binding protein,9,9,1,1,1902,2,19,,458,989,635,,,,,OXC6332_01239,,,,,,,OXC7095_01481,OXC7345_00552,OXC7358_00409,,,,,,,,,H1608_00741,,,H1666_01323,,,H704_01531,H22082_01393
group_45,,Potassium-transporting ATPase A chain (TC 3.A.3.7.1),9,9,1,1,1885,13,22,,317,1112,658,OXC8500_00256,,OXC8885_00880,OXC4567_00432,,,,,OXC6729_01147,,,,,,,,OXC7664_00664,OXC6927_00733,H1604_00247,H1605_00563,,,,,,,,H1670_00642,,
group_476,xpsD,type II protein secretion system D protein,9,9,1,1,360,35,4,,500,1412,760,,,,OXC4567_01198,OXC6332_00968,,,,,OXC7157_01117,,OXC7095_01353,OXC7345_01684,OXC7358_00712,,,,,,,,,H1608_01249,,,H1666_00242,,,H704_00832,
group_519,macB_2,ABC transporter permease,9,9,1,1,1564,102,1,,317,1289,1181,,,,,OXC6332_00109,,,,,,,OXC7095_00113,OXC7345_00113,OXC7358_00142,,,,OXC6927_01142,H1604_01365,,,,H1608_00333,,,H1666_00449,,,H704_00418,
group_549,,"nucleotidase specific for PseC product,UDP-4-amino-4,6-dideoxy-beta-L-AltNAc",9,9,1,1,640,34,2,,158,824,750,,,,,,,,,OXC6729_01729,,,,,,,,OXC7664_01231,,,H1605_01453,,,,,H1664_01175,,,,,
group_630,,"MFS transporter, CP family, cyanate transporter",9,9,1,1,2869,50,1,,239,239,239,,,OXC8885_01343,,,,,,,,,,,,,,,,H1604_00531,,,,,,,,,,H704_00448,H22082_00722
gtaB_1,,lipopolysaccharide biosynthesis protein,9,9,1,1,476,3,89,,443,725,693,,,,,OXC6332_00917,,OXC6453_01179,,,,,OXC7095_01456,OXC7345_01479,OXC7358_00475,OXC7452_00019,,,,,,,,H1608_01200,,H1664_01759,H1666_01601,,,,
group_651,,SAM-dependent methlyltransferase,9,9,1,1,464,3,84,,551,1139,811,,,,,OXC6332_00913,,OXC6453_01183,,,,,OXC7095_01452,OXC7345_01475,OXC7358_00479,OXC7452_00023,,,,,,,,H1608_01195,,H1664_01763,H1666_01597,,,,
group_73,glpT_1,Glycerol-3-phosphate transporter,9,9,1,1,1302,43,5,,395,959,570,,,,,,,OXC6453_01023,,,OXC7157_00251,OXC7004_00435,,,,OXC7452_00996,,,,,,H1606_00793,H1607_00141,,,H1664_00396,,,,,
porA_2,,Pyruvate-flavodoxin oxidoreductase,9,9,1,1,355,97,2,,887,3560,3263,,,,OXC4567_01200,OXC6332_00970,,,,,,,OXC7095_01355,OXC7345_01686,OXC7358_00714,,,,,,H1605_01044,,,H1608_01251,,,H1666_00244,,,H704_00830,
group_964,,putative sugar transferase,9,9,1,1,421,3,111,,1079,1529,1133,,,,,OXC6332_00934,,OXC6453_00569,,,,,OXC7095_01320,OXC7345_01651,OXC7358_00678,OXC7452_00743,,,,,,,,H1608_01216,,H1664_00113,H1666_00209,,,,
group_971,,hypothetical protein,9,9,1,1,1553,8,23,,146,464,262,,,,,,OXC6357_00127,OXC6453_00092,OXC6609_00488,,OXC7157_00099,OXC7004_00091,,,,OXC7452_00118,,,,,,H1606_00127,H1607_00799,,,H1664_00205,,,,,
group_99,,periplasmic protein,9,9,1,1,2491,15,8,,395,869,758,,,,,,OXC6357_01516,,OXC6609_00923,,OXC7157_01417,OXC7004_01186,,,,,,,,,,H1606_01173,H1607_01138,,,,,,,H704_00554,H22082_01322
group_1005,,Bacteriophage replication gene A protein (GPA),8,8,1,2,4,36,2,,1025,1541,1382,,,,,,,,,,,,,,,,,,,H1604_01579,H1605_01476,H1606_00952,H1607_01559,H1608_01160,H1662_01161,H1664_01084,,H1668_01154,,,
group_1236,,phage virion morphogenesis protein,8,8,1,1,2747,2,32,,488,488,488,OXC8500_01052,OXC8749_00019,OXC8885_01043,,,,,,,OXC7157_00521,,,,,,,,OXC6927_00803,,,H1606_01237,H1607_01203,,,,,H1668_00285,,,
group_14,maf-3,motility accessory factor,8,8,1,25,1,318,1,Investigate,122,350,179,,,,OXC4567_01791,,,,,,,,,,,,,,,,H1605_01472,H1606_00946,,,H1662_01165,,,H1668_01778,,H704_01626,
group_1414,,FIG00470493: hypothetical protein,8,8,1,1,2204,5,3,,1724,1724,1724,,,,OXC4567_00612,,,OXC6453_01412,,,,,,OXC7345_01245,,OXC7452_01367,,,,,,,,,H1662_00121,,,,H1670_00444,,
group_1416,,FIG00470976: hypothetical protein,8,8,1,1,1038,5,114,,194,197,196,,,,OXC4567_00622,,,OXC6453_01402,,,,,,OXC7345_01235,,OXC7452_01357,,,,,,,,,H1662_00111,,,,H1670_00454,,
group_1417,,FIG00470826: hypothetical protein,8,8,1,1,1037,5,113,,404,404,404,,,,OXC4567_00623,,,OXC6453_01401,,,,,,OXC7345_01234,,OXC7452_01356,,,,,,,,,H1662_00110,,,,H1670_00455,,
group_1419,,FIG00472678: hypothetical protein,8,8,1,1,1028,5,103,,620,647,636,,,,OXC4567_00632,,,OXC6453_01396,,,,,,OXC7345_01229,,OXC7452_01351,,,,,,,,,H1662_00101,,,,H1670_00465,,
group_1420,,FIG00470467: hypothetical protein,8,8,1,1,1026,5,101,,1538,1538,1538,,,,OXC4567_00634,,,OXC6453_01394,,,,,,OXC7345_01227,,OXC7452_01349,,,,,,,,,H1662_00099,,,,H1670_00467,,
group_1421,,FIG00469799: hypothetical protein,8,8,1,1,1022,5,96,,380,380,380,,,,OXC4567_00638,,,OXC6453_01390,,,,,,OXC7345_01223,,OXC7452_01345,,,,,,,,,H1662_00095,,,,H1670_00471,,
group_1425,,putative phage-type endonuclease,8,8,1,1,1003,5,69,,854,854,854,,,,OXC4567_00653,,,OXC6453_01376,,,,,,OXC7345_01207,,OXC7452_01330,,,,,,,,,H1662_00080,,,,H1670_00487,,
group_1426,,hypothetical protein,8,8,1,1,1001,5,67,,665,695,687,,,,OXC4567_00655,,,OXC6453_01374,,,,,,OXC7345_01205,,OXC7452_01328,,,,,,,,,H1662_00078,,,,H1670_00489,,
group_1429,,pentapeptide repeat family protein,8,8,1,1,994,5,41,,542,542,542,,,,OXC4567_00660,,,OXC6453_01368,,,,,,OXC7345_01197,,OXC7452_01321,,,,,,,,,H1662_00073,,,,H1670_00494,,
cirA_1,,TonB-dependent heme receptor,8,8,1,1,1635,157,1,,2111,2120,2113,,,,,OXC6332_00057,,,,,,,OXC7095_00165,OXC7345_00165,OXC7358_00194,OXC7452_00189,,,,,,,,H1608_00281,,H1664_00277,H1666_00501,,,,
group_1445,,motility accessory factor,8,8,1,1,77,1,77,,1826,1826,1826,,,,,OXC6332_00375,,OXC6453_00874,,,,,OXC7095_00701,OXC7345_00675,OXC7358_01674,OXC7452_00661,,,,,,,,H1608_01781,,,H1666_01660,,,,
group_146,hxuB_1,FIG00469655: hypothetical protein,8,8,1,1,1904,17,24,,236,809,308,,,,,,OXC6357_00760,OXC6453_00515,OXC6609_00584,,OXC7157_00865,OXC7004_00692,,,,,,,,H1604_00314,,H1606_00518,H1607_00497,,,,,,,,
group_1482,,membrane protein,8,8,1,1,22,38,2,,1400,1427,1406,,,,,,OXC6357_01310,,OXC6609_00715,,OXC7157_01624,OXC7004_01392,,,,,,,,,,H1606_01435,H1607_01401,,,,,,,,
group_1552,,putative lipoprotein,8,8,1,1,1744,175,2,,245,245,245,OXC8500_00618,OXC8749_00687,OXC8885_01764,OXC4567_00120,,,,,,,,,,,,,,,,,,,,H1662_00628,,,,H1670_00086,,
group_1579,,hypothetical protein,8,8,1,1,2745,2,5,,305,305,305,OXC8500_01054,OXC8749_00021,OXC8885_01045,,,,,,,OXC7157_00523,,,,,,,,OXC6927_00801,,,H1606_01239,H1607_01205,,,,,H1668_00283,,,
group_1580,,hypothetical protein,8,8,1,1,2748,2,6,,239,239,239,OXC8500_01055,OXC8749_00022,OXC8885_01046,,,,,,,OXC7157_00524,,,,,,,,OXC6927_00800,,,H1606_01240,H1607_01206,,,,,H1668_00282,,,
group_1581,,phage major tail tube protein,8,8,1,1,2749,2,7,,509,509,509,OXC8500_01056,OXC8749_00023,OXC8885_01047,,,,,,,OXC7157_00525,,,,,,,,OXC6927_00799,,,H1606_01241,H1607_01207,,,,,H1668_00281,,,
group_1596,,hypothetical protein,8,8,1,1,2768,2,86,,791,791,791,OXC8500_01083,OXC8749_00050,,,OXC6332_00285,,,,,,,OXC7095_01076,OXC7345_00504,OXC7358_00268,,,,,,,,,H1608_01071,,,H1666_01213,,,,
group_1597,,hypothetical protein,8,8,1,1,2769,2,95,,206,206,206,OXC8500_01084,OXC8749_00051,,,OXC6332_00284,,,,,,,OXC7095_01075,OXC7345_00503,OXC7358_00269,,,,,,,,,H1608_01070,,,H1666_01214,,,,
