	ERR494558	ERR713656	ERR278423	ERR083948	ERR083973	ERR084064	ERR108372	ERR128814	ERR193205	ERR221288	ERR221374	ERR278230	ERR278242	ERR278359	ERR278461	ERR343073	ERR356128	ERR593768	H1604	H1605	H1606	H1607	H1608	H1662	H1664	H1666	H1668	H1670	H704	SRR065736
atpG	499.1	499.1	499.1	500.5	497.4	498.8	497.4	500.5	497.4	497.4	500.1	500.5	500.5	498.8	499.1	500.5	499.1	499.1	497.4	500.5	497.4	497.4	500.5	499.1	498.8	500.5	499.1	499.1	497.4	497.4
iroE	187.1	187.1	187.1												187.1		187.1	187.1	186.2					187.1			187.1	187.1	186.2	186.2
ktrA	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5	306.5
cbpA	462.3	462.3	462.3	464.1	462.3	463.4	462.3	464.6	462.3	462.3	464.1	464.1	464.1	463.4	460.5	464.6	460.5	462.3	462.3	464.6	462.3	462.3	464.1	462.3	463.4	464.1	460.5	462.3	462.3	462.3
glyQ	594.8	594.8	594.8	590.8	594.8	592.5	594.8	592.6	594.8	594.8	590.8	590.8	590.8	592.5	594.8	592.6	594.8	594.8	594.4	592.6	592.9	592.9	590.8	594.8	592.5	590.8	594.8	594.8	594.4	594.4
dnaB	695.0	695.0	695.0	693.6	693.7	694.0	693.7	694.0	693.7	693.7	693.6	693.6	693.6	694.0	694.0	694.0	694.0	695.0	694.0	694.0	693.7	693.7	693.6	695.0	513.5	693.6	694.0	695.0	695.1	695.1
gidA	1127.5	1127.5	1127.5	1124.8	1125.7	1123.3	1125.7	1127.7	1125.7	1125.4	1124.8	1124.8	1124.8	1126.5	1125.7	1127.7	1125.7	1127.5	1125.7	1126.5	1125.7	1125.7	1124.8	1127.5	1123.3	1124.8	1127.4	1127.5	1123.3	1123.3
group_731				417.2	417.5	417.0				416.7	417.2	417.2	417.2	417.5	417.5			417.5	417.5		416.7	416.7	417.2	417.5	339.3	417.2	417.5	417.5	417.5	417.5
group_3029	12.0	12.0	12.0	12.5	12.0	12.0	12.0	12.0	12.0	12.0	12.5	12.5	12.5	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.0	12.5	12.0	12.0	12.5	12.0	12.0	12.0	12.0
pflA	890.8	890.8	890.8	890.7	890.3	893.0	890.3	892.1	889.7	890.3	890.7	890.7	890.7	893.0	887.2	892.1	887.2	890.8	889.3	892.1	889.7	889.7	890.7	890.8	893.0	890.7	887.2	890.8	889.3	889.3
group_510	154.3	154.3	154.3		109.9	119.0	109.9	118.3	109.9	109.9				119.0	116.7	118.3	154.3	154.3	118.3	118.3	109.9	109.9		154.3			154.3	154.3	118.3	118.3
group_3254	27.7	27.7	27.7	26.8	27.7	27.7	27.7	27.7	27.7	27.7	26.8	26.8	26.8	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	27.7	26.8	27.7	27.7	26.8	27.7	27.7	27.7	27.7
tpx	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	231.0	229.2	231.0	229.2	231.0	231.0	231.0	231.0	231.0	231.0	231.0	229.7	231.0	229.2	231.0	229.2	229.2
secE	114.9	114.9	114.9	114.9	114.9	114.4	114.9	114.9	114.9	114.9	114.9	114.9	114.9	114.4	114.9	114.9	114.9	114.9	114.9	114.9	114.9	114.9	114.9	114.9	114.4	114.9	114.9	114.9	114.9	114.9
lpxB	392.0	392.0	392.8	392.7	393.2	398.9	393.2	398.9	393.2	398.9	392.7	392.7	392.7	398.9	392.8	398.9	392.8	392.0	392.8	398.9	393.2	393.2	392.7	392.0	398.9	392.7	392.8	392.0	392.8	392.8
group_2642																			220.1										220.1	220.1
ompR	243.1	243.1	243.1	240.8	243.1	243.8	243.1	243.1	243.1	243.1	240.8	240.8	240.8	243.8	243.1	243.1	243.1	243.1	244.3	243.1	243.1	243.1	240.8	243.1	243.8	240.8	243.1	243.1	243.1	243.1
group_1759	21.4	21.4	21.4			21.9		21.4						21.9	21.9	21.4	21.9	21.4	21.4	21.4				21.4	21.9			21.4	21.4	21.4
yjjP	433.7	433.7	433.7	431.5	433.7	432.5	433.7	433.7	433.7	433.7	431.5	431.5	431.5	432.5	432.1	433.7	432.1	433.7	432.1	433.7	433.7	433.7	431.5	433.7	432.5	431.5	432.1	432.8	432.1	432.1
xcpT	172.6	172.6	172.6	175.7	175.6	175.3	178.8	174.8	178.8	178.8	175.7	175.7	175.7	178.6	175.3	174.8	175.3	172.6	175.2	174.8	178.8	178.8	175.7	172.6	178.4	175.5	175.3	172.6	175.3	175.3
serA	907.6	907.6	907.6	906.6	907.7	907.3	907.7	908.1	907.7	907.7	906.6	906.6	906.6	907.3	908.1	908.1	908.1	907.6	907.8	908.1	907.7	907.7	906.6	907.6	907.3	906.6	908.1	906.0	908.1	906.2
arnB_1	593.4	593.4	593.4	593.3	592.2	592.2	592.2	592.2	592.2	592.2	593.3	593.3	593.3	592.2	593.4	592.2	593.4	593.4	590.9	592.2	592.2	592.2	593.3	593.4	592.2	593.3	593.4	593.4	590.9	590.9
group_928		382.3																382.3					382.5	382.3				382.3		382.3
pglB	953.2	953.2	953.2	946.3	954.1	952.0	954.1	952.4	954.1	954.1	946.3	946.3	946.3	952.0	952.8	952.4	952.8	953.2	952.8	952.4	954.1	954.1	946.3	953.2	952.0	946.3	952.8	953.2	950.9	950.9
sucC	720.6	720.6	720.6	721.2	721.8	721.9	721.8	720.6	721.8	721.8	721.2	721.2	721.2	721.9	720.6	720.6	720.6	720.6	717.1	720.6	721.8	721.8	721.2	720.6	721.9	721.2	720.6	720.6	720.6	717.1
pldA	392.0	392.0	392.0	391.7	391.6	393.8	391.6	392.8	391.6	391.6	391.7	391.7	391.7	393.8	392.1	392.8	392.1	392.0	392.0	392.8	391.6	391.6	391.7	392.0	393.8	391.7	392.1	392.0	392.0	392.0
group_1448	374.8	374.8	374.8	374.1	375.5	375.6	375.5	374.7	375.5	375.5	374.1	374.1	374.1	375.6	375.3	374.7	375.3	374.8	375.6	374.7	375.5	375.5	374.1	374.8	375.6	374.1	375.6	374.8	375.6	375.6
group_1221																	12.1
kdgR	108.4	108.4	108.4		108.6		108.6	108.6	108.6	108.6					108.6	108.6	108.6	108.4	108.6	108.6	108.6	108.6		108.4			108.6	108.4	108.6	108.6
truD	542.9	542.9	542.9	538.0	544.5	545.8	544.5	540.3	544.5	544.5	538.0	538.0	538.0	545.8	544.4	540.3	544.4	542.9	543.2	540.3	544.5	544.5	538.0	542.9	545.8	538.0	544.4	542.9	543.2	543.2
czcO	465.0	465.0	465.0	462.9	463.3	465.0	463.3	465.7	463.3	463.3	462.9	462.9	462.9	465.0	460.0	465.7	460.0	465.0	465.0	465.7	463.3	463.3	462.9	465.0	465.0	462.9	465.0	465.0	465.0	465.0
miaB_2	703.5	703.5	703.5	705.7	702.1	703.8	702.1	702.7	702.1	702.1	705.7	705.7	705.7	703.8	705.7	702.7	705.7	703.5	704.4	702.7	702.1	702.1	705.7	703.5	703.8	705.7	705.7	703.5	705.2	704.4
aroH	824.0	824.0	824.0	827.8	824.7	827.7	824.7	825.4	824.7	824.7	827.8	827.8	827.8	827.7	824.0	825.4	824.0	824.0	824.0	825.4	824.7	824.7	827.8	824.0	827.7	827.8	824.0	819.8	824.0	824.0
pglA	498.1	498.1	498.1	497.2	491.2	498.5	491.2	498.8	491.2	491.2	497.2	497.2	497.2	498.5	498.5	498.8	498.5	498.1	498.5	497.4	491.2	491.2	497.2	498.1	498.5	497.2	498.5	498.1	498.5	498.5
group_643	227.9	227.9	227.9	225.8	221.1	227.1	223.8	227.0	223.8	223.8	225.8	225.8	225.8	227.1	227.9	227.0	227.9	227.9	227.9	227.0	223.8	223.8	225.8	227.9	227.1	225.8	227.9	227.9	227.9	227.9
dnaX	734.7	734.7	734.7	730.0	734.6	734.7	734.6	734.7	734.6	734.6	730.0	730.0	730.0	734.7	734.7	734.7	734.7	734.7	734.8	734.7	734.6	734.6	730.5	734.7	734.7	730.0	735.5	734.7	728.7	734.7
hldE	710.4	710.4	710.4		710.0	712.1	710.0	713.4	710.6	710.0				712.1	710.4	713.4	710.4	710.4	712.4	713.4	710.6	710.6		710.4	712.1		710.4	710.4	712.4	712.4
ppaX	301.4	301.4	301.4	301.8	301.7	299.3	301.7	300.7	301.7	301.7	301.8	301.8	301.8	299.3	301.4	300.7	301.4	301.4	300.8	300.7	301.7	301.7	301.8	301.4	299.3	301.8	277.8	301.4	300.8	300.8
lolD_1	318.6	318.6	318.6	320.1	320.3	318.6	320.3	320.3	320.3	320.3	320.1	320.1	320.1	318.6	317.4	320.3	317.4	318.6	318.6	320.3	320.3	320.3	320.1	318.6	318.6	320.1	317.4	318.6	318.6	318.6
ylxH_1	447.9	447.9	447.9	447.6	447.9	447.9	447.9	447.9	447.9	447.9	447.6	447.6	447.6	447.9	447.9	447.9	447.9	447.9	447.9	447.9	447.9	447.9	447.6	447.9	447.6	447.6	447.6	447.9	447.9	447.9
group_981	121.4	121.4	121.4	120.0	122.3	122.7	122.3	121.4	122.3	122.3	121.0	121.0	121.0	122.7	121.4	121.4	121.4	121.4	122.3	121.4	122.3	122.3	121.0	121.4	122.7	121.0	121.4	121.4	122.3	122.3
group_2981	115.1	115.1	115.1	115.8	115.8	115.8	115.8	115.8	115.8	115.8	115.8	115.8	115.8	115.8	115.1	115.8	115.1	115.1	115.1	115.8	115.8	115.8	115.8	115.1	115.8	115.8	115.1	115.1	115.1	115.1
cca	425.3	425.3	425.3	427.0	430.7	426.3	430.7	429.7	430.7	430.7	427.0	427.0	427.0	426.3	426.3	429.7	426.3	425.3	431.3	429.7	430.7	430.7	427.0	425.3	426.3	427.0	426.3	425.3	431.3	431.3
group_926	314.9	314.9	314.9	315.0	314.9	314.9	314.9	314.9	314.9	314.9	315.0	315.0	315.0	314.9	314.9	314.9	314.9	314.9	314.9	314.9	314.9	314.9	315.0	314.9	314.9	315.0	314.9	314.9	313.1	313.1
group_1297	246.2	246.2	246.2	246.3	246.4	245.8	246.4	246.2	246.4	246.4	246.3	246.3	246.3	245.8	246.2	246.2	246.2	246.2	245.8	246.2	246.4	246.4	246.3	246.2	245.6	246.3	246.2	246.2	245.8	245.8
spoIIIE	1127.7	1127.7	1127.7	1126.4	1127.7	1124.0	1127.7	1127.8	1127.7	1127.7	1126.4	1126.4	1126.4	1122.9	1128.0	1127.8	1128.0	1127.7	1127.2	1127.8	1127.7	1127.7	1126.4	1127.7	1124.0	1126.4	1128.0	1127.7	1128.0	1128.0
rpsL	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0	271.0
rplI	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5	230.5
folK	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.2	204.4	204.2	204.2	185.2	204.2	204.2
regX3_2	341.1	341.1	341.1	341.3	341.3	341.1	341.3	339.3	341.3	341.3	341.3	341.3	341.3	341.1	341.3	339.3	341.3	341.1	338.4	339.3	341.3	341.3	341.3	341.1	281.7	202.7	341.1	341.1	338.4	338.4
napL	355.4	355.4	355.4	354.3	355.1	355.4	355.1	350.5	355.1	355.1	354.3	354.3	354.3	355.4	355.4	350.5	355.4		355.4	350.5	349.6	289.7	354.3	355.4	355.4	354.3	355.4	355.4	355.4	355.4
glnR	213.4	213.4	213.4	214.0	213.4	213.4	213.4	213.4	213.4	213.4	214.0	214.0	214.0	213.4	213.4	213.4	213.4	213.4	213.4	213.4	213.4	213.4	214.0	213.4	213.4	214.0	213.4	213.4	213.4	213.4
pabA	338.1	338.1	338.1	338.2	338.0	338.1	338.0	338.1	338.0	338.0	338.2	338.2	338.2	338.1	338.1	338.1	338.1	338.1	338.1	336.1	338.0	338.0	338.2	338.1	338.1	338.2	338.1	338.1	338.1	338.1
bdlA_2	637.8	637.8	637.8	634.1	636.4	637.8	636.4	419.5	636.4	636.4	634.1	634.1	634.1	101.9	634.9	637.8	634.9	637.8	637.8	637.8	636.4	636.4	634.1	631.4	637.8	634.1	634.9	637.8	637.8	637.8
rpmH	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3	107.3
modA	324.4	324.4	324.4	319.3	323.3	323.3	323.3		323.3	323.3	319.3	319.3	319.3	323.3	321.4		321.4	324.4	324.4		320.6	320.6	319.3	324.4	323.3	319.3	321.4	324.4	324.4	324.4
group_298	601.5	601.5	601.5	345.5	597.4	600.5	597.4	370.9	597.4	597.4	345.5	345.5	345.5	600.5	601.3	600.7	601.3	601.5	168.0	600.7	597.4	597.4	345.5	601.5		345.5	601.3	601.5	168.0	168.0
mutS	1114.8	1114.8	1114.8	1116.6	1114.2	1112.4	1114.2	1112.9	1113.3	1114.2	1116.6	1116.6	1116.6	1112.4	1111.9	1112.9	1114.8	1114.8	1112.1	1112.9	1113.3	1113.3	1116.6	1114.8	1112.4	1116.6	1114.8	1114.8	1112.1	1112.1
amtB	472.7	472.7	472.7		163.2	255.0	163.2	90.8	472.5	163.2				255.0	249.2	90.8	249.2	472.7	474.3	90.8	472.5	472.5		472.7	249.2		249.2	472.7	474.3	474.3
group_1400	564.7	564.7	564.7	556.7	564.7	565.3	564.7	560.7	564.7	564.7	556.7	556.7	556.7	565.3	564.7	560.7	564.7	564.7	565.3	560.7	564.7	564.7	556.7	564.7	565.3	556.7	564.7	564.7	565.3	565.3
ribF	383.9	383.9	383.9	382.7	376.5	380.1	376.5	380.0	376.5	376.5	382.7	382.7	382.7	383.9	383.9	380.0	383.9	383.9	383.9	380.0	376.5	376.5	382.7	383.9	380.1	382.7	383.9	383.7	381.7	381.7
lutA_2	678.7	678.7	678.7	677.9	678.7	678.1	678.7	678.7	678.7	678.7	677.9	677.9	677.9	676.1	678.8	678.7	678.8	678.7	678.8	678.7	678.7	678.7	677.9	678.7	672.7	677.9	678.8	678.7	678.7	678.7
marC	278.6	278.6	278.6	277.7	278.6	278.6	278.6	278.6	278.6	278.6	277.7	277.7	277.7	278.6	277.1	278.6	277.1	278.6	278.6	278.6	278.6	278.6	277.7	278.6	276.0	277.7	277.1	278.6	278.6	278.6
group_3169	623.2	623.2	623.2	622.9	624.8	624.8	624.8	624.4	624.8	624.8	622.9	622.9	622.9	624.8	623.2	624.4	624.8	623.2	623.2	624.4	624.8	624.8	622.9	623.2	624.8	622.9	624.8	623.2	624.8	624.8
ispB	456.1	456.1	456.1	453.3	456.1	456.1	456.1	456.0	456.1	456.1	453.3	453.3	453.3	456.1	456.1	456.0	456.1	456.1	456.1	456.0	456.1	456.1	453.3	456.1	456.1	453.3	456.1	450.5	456.1	456.1
nhaA1	546.9	546.9	546.9	549.4	546.8	547.7	546.8	546.9	546.8	546.8	549.4	549.4	549.4	547.8	547.8	546.9	547.8	546.9	547.8	546.9	546.8	546.8	549.4	546.9	547.7	549.4	547.8	546.9	547.8	547.8
proP_3	429.1	429.1	429.1	435.4	437.6	436.8	436.9	437.0	437.6	437.6	435.4	435.4	435.4	436.8	432.6	437.0	432.6	429.1	437.5	437.0	437.6	437.6	435.4	429.1	436.8	435.4	432.6	429.1	432.6	437.5
nuoH	524.0	524.0	524.0	525.2	524.1	523.6	524.1	524.7	526.7	524.1	525.2	525.2	525.2	523.6	523.6	524.7	523.6	524.0	526.2	524.7	526.7	526.7	525.2	526.1	521.0	525.2	523.6	524.0	526.2	526.2
comE	210.4	210.4	210.4	207.2	211.8	210.4	211.8	209.9	211.8	211.8	207.2	207.2	207.2	210.4	210.4	209.9	210.4	210.4	210.4	209.9	211.8	211.8	207.2	210.4	209.6	207.2	210.4	210.4	210.4	210.4
hflC	607.3	607.3	607.3	607.3	606.8	606.8	606.8	604.4	606.8	606.8	607.3	607.3	607.3	606.8	606.6	604.4	606.6	607.3	607.1	604.4	606.8	606.8	607.3	607.3	606.8	607.3	606.6	607.3	606.8	606.8
fdxA_2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2	138.2
thiJ	259.7	259.7	259.7	261.2	261.4	259.7	261.4	257.7	261.4	261.4	261.2	261.2	261.2	259.7	259.7	257.7	259.7	259.7	262.2	257.7	261.4	261.4	261.2	259.7	259.7	261.2	259.7	259.7	259.7	259.7
hldD	538.5	538.5	538.5		540.0	538.4	540.0	538.3	540.0	540.0				538.4	538.5	538.3	538.5	538.5	539.0	538.3	540.0	540.0		538.5	538.4		538.5	538.5	539.0	539.0
pepF	981.1	981.1	981.1	975.9	978.6	975.5	978.6	981.1	978.6	978.6	975.9	975.9	975.9	975.5	980.1	981.1	980.1	981.1	981.1	981.1	978.6	978.6	975.9	981.1	968.5	975.9	980.1	981.1	981.1	981.1
trpA	318.0	318.0	318.0	315.9	318.0	319.2	318.0	315.9	318.0	318.0	315.9	315.9	315.9	319.2	318.0	315.9	318.0	318.0	318.0	315.9	318.0	318.0	315.9	318.0	319.1	315.9	318.0	315.1	318.0	318.0
dxs	1069.2	1069.2	1069.2	1068.9	1070.7	1070.0	1070.7	1069.6	1070.7	1070.7	1069.6	1069.6	1068.9	1069.4	1070.5	1069.6	1070.5	1069.2	1070.0	1069.6	1070.7	1070.7	1069.6	1069.2	1069.4	1069.6	1070.5	1064.5	1070.0	1070.0
group_3000	291.0	291.0	291.0	292.2	291.0	290.0	291.0	290.0	291.0	291.0	292.2	292.2	292.2	290.0	291.2	290.0	291.2	291.0	291.0	290.0	291.0	291.0	292.2	291.0	290.0	292.2	290.1	291.0	291.0	291.0
murG	531.9	531.9	531.9	531.7	531.4	531.8	531.4	531.3	531.9	531.4	531.7	531.7	531.7	531.8	531.9	531.3	531.9	531.9	532.2	531.3	528.7	528.7	531.7	531.9	531.8	531.7	531.9	531.9	532.2	532.2
ybhI_2					50.1	62.7	50.1	50.1	50.1	50.1				59.9	59.9	50.1	59.9		60.3	50.1	50.1	50.1			62.7		59.9		60.3	60.3
moeA_2	602.2	602.2	602.2	602.0	604.3	602.2	604.3	601.0	600.1	604.3	602.0	602.0	602.0	602.2	604.3	601.0	599.1	602.2	602.2	601.0	600.5	600.5	602.0	602.2	602.2	602.0	602.2	602.2	602.2	602.2
atpC	186.8	186.8	186.8	189.0	188.8	188.8	188.8	188.8	188.8	188.8	189.0	189.0	189.0	188.8	188.8	188.8	188.8	186.8	188.8	188.8	188.8	188.8	189.0	186.8	188.8	189.0	188.8	186.8	188.8	188.8
pgbA	275.2	275.2	275.2	275.2	274.9	273.1	274.9	275.2	274.9	274.9	275.2	275.2	275.2	273.1	274.9	275.2	274.9	275.2	275.2	275.2	274.9	274.9	275.2	275.2	273.1	275.2	273.1	275.2	275.2	275.2
dcuD_3	109.3	109.3													109.3			109.3						109.3			109.3	109.3		105.3
pal	226.5	226.5	226.5	226.5	225.9	226.2	225.9	226.5	225.9	225.9	226.5	226.5	226.5	226.2	226.5	226.5	226.5	226.5	225.9	225.4	225.9	225.9	226.5	226.5	226.2	226.5	226.5	226.5	225.9	225.9
group_1746	518.5	518.5	518.5												516.0		516.0	518.5	515.1					518.5			516.0	518.5	515.1	515.1
group_368						37.3																							37.3	37.3
nuoK	124.7	124.7	124.7	124.7	123.9	123.9	123.9	123.9	123.8	123.9	124.7	124.7	124.7	123.9	123.9	123.9	123.9	124.7	124.7	123.9	123.8	123.8	124.7	123.9	123.9	124.7	123.9	124.7	124.7	124.7
group_1452	26.3	26.3	26.3	26.3	25.7	26.3	25.7	26.3	26.3	25.7	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3	26.3
group_859	143.1	143.1	143.1		128.5		128.5	143.1	128.5	128.5					143.1	143.1	143.1	143.1	143.1	143.1	128.5	128.5		143.1			143.1	142.5	143.1	143.1
fliA	174.7	174.7	174.7		174.7	174.7	174.7	174.7	174.7	174.7				174.7	174.7	174.7	174.7	174.7	174.7	174.7	174.7	174.7		174.7	172.5		172.5	174.7	174.7	174.7
moaE	242.2	242.2	242.2	242.6	242.2	242.6	242.2	242.2	243.4	242.2	242.6	242.6	242.6	242.6	241.5	242.2	242.6		239.8	242.2	243.4	243.4	242.6	242.2	242.6	242.6	239.8	242.2	242.2	242.2
chuD	377.3	377.3	377.3	377.0	377.6	377.3	377.6	376.6	377.6	377.6	377.0	377.0	377.0	375.1	377.3	376.6	377.3	377.3	377.3	376.6	377.6	377.6	377.0	377.3	375.1	377.0	377.3	377.3	377.3	377.3
group_495	114.0	114.0	114.0	55.9	119.4	114.0	119.4	113.7	119.4	119.4	55.9	55.9	55.9	114.0	114.0	113.7	114.0	114.0	114.0	113.7	119.4	119.4	55.9	114.0	121.2	55.9	113.5	112.3	114.0	114.0
hemC	492.8	492.8	492.8	491.5	492.8	492.8	492.8	492.8	492.8	492.8	491.5	491.5	491.5	492.8	492.5	492.8	492.5	492.8	492.5	492.8	492.8	492.8	491.5	492.8	492.8	491.5	492.5	492.8	492.5	492.5
lolC	666.6	666.6	666.6	667.0	664.3	664.5	664.3	667.2	664.3	664.3	667.0	667.0	667.0	664.5	664.4	667.2	664.4	666.6	664.4	667.2	664.3	664.3	667.0	666.6	664.5	667.0	664.4	666.6	664.4	664.4
group_1131																			135.7										135.7	135.7
group_1526	136.9	136.9	136.9	136.9	136.9	136.9	136.9		136.9	136.9	136.9	136.9	136.9	136.9	136.9		135.7	136.9	136.9		136.9	136.9	136.9	136.9	136.9	136.9	136.9	136.9	136.9	136.9
rplY	299.4	299.4	299.4	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	300.8	299.4	300.8	300.8	300.8	300.8	300.8	299.4	300.8	300.8	300.8	299.4	300.8	300.8
gtaB_2	519.1	519.1	519.1	518.0	521.7	522.5	521.7	521.7	521.7	521.7	518.0	518.0	518.0	522.5	522.5	521.7	522.5	519.1	522.5	521.7	521.7	521.7	518.0	519.1	522.5	518.0	522.5	519.1	522.5	522.5
capD	647.9	647.9	647.9	647.2	643.8	646.7	643.8	643.5	643.8	643.8	647.2	647.2	647.2	646.7	646.1	643.5	646.1	647.9	645.5	643.5	643.8	643.8	647.2	647.9	646.7	647.2	646.1	647.9	645.5	645.5
idhA	327.6	327.6	327.6	323.6	325.3	327.6	325.3	327.6	325.3	325.3	323.6	323.6	323.6	326.4	326.4	327.6	326.4	327.6	322.9	327.6	325.3	325.3	323.6	327.6	327.6	323.6	326.4	327.6	320.3	322.9
group_1793	147.6	147.6	147.6		147.6	147.6	147.6		144.8	147.6				147.6	147.6		147.6	147.6	144.7		147.6	147.6		147.6	147.6		147.6	147.6	144.7	144.7
group_1314	235.4	235.4	235.4	236.9	236.5	236.9	236.5	235.6	236.5	236.5	236.9	236.9	236.9	236.9	235.4	235.6	235.4	235.4	236.9	235.6	236.5	236.5	236.9	235.4	236.9	236.9	235.4	235.4	236.9	236.9
ttdT	146.8	146.8	146.8	587.8	146.7	146.8	146.7	146.7	146.7	146.7	587.8	587.8	587.8	146.8	146.8	146.7	146.8	146.8	146.8	146.7	146.7	146.7	584.9	146.8	146.8	587.8	146.8	146.8	146.8	146.8
clpX	755.4	755.5	755.5	755.5	753.8	752.4	753.8	755.1	753.8	753.8	755.5	755.5	755.5	752.4	755.5	755.1	755.5	755.5	755.5	755.1	753.8	753.8	755.5	755.5	747.7	755.5	755.5	755.5	755.5	755.5
bioB	461.7	461.7	461.7	464.5	461.7	461.1	461.7	460.9	461.7	461.7	464.5	464.5	464.5	461.1	462.5	460.9	462.5	461.7	462.1	460.9	461.7	461.7	464.5	461.7	461.1	464.5	462.5	461.7	462.1	462.1
group_1191	177.1	177.1	177.1	180.0	180.2	177.1	180.2	177.1	180.2	180.2	180.0	180.0	180.0	177.1	177.7	177.1	177.7	177.1	177.1	177.1	180.2	180.2	180.0	177.1	177.1	180.0	177.7	177.1	177.1	177.1
ppa	329.5	329.5	329.5	329.5	329.5	329.5	329.5	330.3	329.5	329.5	329.5	329.5	329.5	329.5	331.2	330.3	331.2	329.5	328.4	330.3	329.5	329.5	329.5	329.5	329.5	329.5	331.2	329.5	328.4	328.4
rsmI	406.6	406.6	406.6	405.9	406.5	406.5	406.5	406.5	406.0	406.5	405.9	405.9	405.9	406.5	406.6	406.5	406.6	406.6	406.6	406.5	406.5	406.5	405.9	406.6	406.5	405.9	406.6	406.6	406.5	406.5
dapB	409.7	409.7	409.7	410.2	409.7	410.1	409.7	410.2	409.7	409.7	410.2	410.2	410.2	409.7	409.7	410.2	409.7	409.7	409.7	410.2	409.7	409.7	410.2	409.7	410.1	410.2	409.7	409.7	409.7	409.7
pstA	744.1	744.1	744.1	742.7	746.4	741.0	746.4	745.2	746.4	746.4	742.7	742.7	742.7	741.0	744.7	745.2	744.7	744.1	743.4	745.2	746.4	746.4	742.7	744.1	741.0	742.7	744.7	744.1	744.1	743.4
maf	247.6	247.6	247.6	247.6	247.6	247.6	247.6	246.6	247.6	247.6	247.6	247.6	247.6	247.6	247.6	246.6	247.6	247.6	244.2	246.6	247.6	247.6	247.6	247.6	247.6	247.6	247.6	247.6	244.2	244.2
pcm	341.7	341.7	341.7	341.7	340.7	341.7	340.7	341.7	340.7	340.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7	340.7	340.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7	341.7
group_307	119.0	119.0	119.0	230.9	229.3	230.9	229.3	230.9	229.3	229.3	230.9	230.9	230.9	230.9	230.7	230.9	230.7	119.0	230.7	230.9	229.3	229.3	230.9	119.0	230.9	230.9	230.7	119.0	230.7	230.7
mapA	11.4	11.4	11.4	11.7	11.3	11.4	11.3	11.4	11.3	11.3	11.7	11.7	11.7	11.4	11.4	11.4	11.4	11.4	11.4	11.4	11.3	11.3	11.7	11.4	11.5	11.7	11.4	11.4	11.4	11.4
acpP	127.0	127.0	127.0	127.0	127.0	127.0	127.0	127.9	127.0	127.0	127.0	127.0	127.0	127.0	127.0	127.9	127.0	127.0	127.0	127.9	127.0	127.0	127.0	127.0	127.0	127.0	127.0	127.0	127.0	127.0
group_1058	670.5	670.5	670.5	668.5	668.5	668.8	668.5	670.5	667.0	668.5	668.5	668.5	668.5	668.8	672.1	670.5	668.8	670.5	670.1	670.5	668.5	668.5	668.5	670.5	668.8	668.5	672.1	670.5	670.1	670.1
cymR	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9	210.9
group_842	410.8	410.8	410.8		409.8	408.6	408.7	409.8	410.1	408.7				408.6	406.6	409.8	408.6	410.8	408.6	409.8	408.7	408.7		410.8	409.1		408.6	410.8	410.8	408.6
